Month,cpi_rate,cpi: (United States),inflation: (United States),calculating inflation: (United States),inflation meaning: (United States),stagflation: (United States),inflation rate: (United States),hyperinflation: (United States),consumer price index: (United States),cpi index: (United States),current inflation rate: (United States),cpi inflation: (United States),inflation is: (United States),cpi inflation rate: (United States),cause of inflation: (United States),calculating cpi: (United States),inflation calculation: (United States),cpi is: (United States),demand pull inflation: (United States),cost push inflation: (United States),types of inflation: (United States),ppi: (United States),stagflation meaning: (United States),disinflation: (United States),price index: (United States),us cpi: (United States),core inflation: (United States),effects of inflation: (United States),transitory inflation: (United States),inflation index: (United States),average inflation rate: (United States),inflation risk: (United States),inflation meaning in economics: (United States),usd inflation: (United States),pce inflation: (United States),inflation and interest rates: (United States),euro inflation: (United States),annual inflation rate: (United States),dollar inflation: (United States),current cpi: (United States),consumer price index inflation: (United States),fed inflation: (United States),money illusion: (United States),food inflation: (United States),inflation in economics: (United States),core cpi: (United States),shoe leather costs: (United States),cpi increase: (United States),cpi rate: (United States),inflation expectations: (United States),current inflation: (United States)
2004-12,-0.003664921465968529,75,31,44,6,7,53,6,63,97,55,35,7,22,0,0,0,13,0,19,0,57,0,22,67,70,28,24,0,53,42,0,0,0,0,23,57,33,36,53,25,7,0,0,14,18,0,56,36,33,59
2005-01,0.0021019442984759884,77,30,39,0,6,46,20,76,99,35,14,7,13,0,23,29,19,0,16,0,57,0,19,75,50,12,10,0,65,37,50,0,0,0,7,25,52,32,47,60,24,13,5,0,16,0,20,18,0,47
2005-02,0.0057682223387520715,85,35,27,0,5,62,16,82,84,67,25,16,17,20,24,30,22,16,35,17,66,0,20,80,100,64,33,0,73,39,0,0,0,32,21,52,30,47,82,63,15,14,16,38,17,0,31,42,31,62
2005-03,0.007820646506777829,77,33,12,0,11,52,12,66,62,71,21,12,11,11,21,13,15,0,0,0,82,0,35,76,90,33,9,0,50,33,27,0,17,55,35,22,26,60,56,39,16,0,5,11,57,0,35,24,39,77
2005-04,0.0067252974650799935,79,38,53,0,38,50,26,71,85,62,29,15,13,7,24,15,19,62,17,51,66,0,80,75,69,25,32,0,57,53,41,0,10,0,47,25,95,88,48,49,21,13,0,37,33,69,20,24,15,71
2005-05,-0.0010277492291880241,72,32,12,0,36,39,6,59,55,35,22,13,12,23,0,13,17,28,61,0,59,0,36,62,57,45,10,0,39,27,28,0,17,85,42,23,21,62,57,36,16,0,9,0,0,0,27,34,13,38
2005-06,0.0005144032921811093,73,30,12,5,8,38,11,50,56,42,21,8,9,6,22,94,9,0,0,16,66,0,73,56,42,34,0,0,48,21,28,0,0,0,6,23,22,51,29,41,17,37,10,0,15,0,37,20,14,42
2005-07,0.004627249357326502,71,25,36,0,6,36,11,44,40,33,28,8,18,18,0,13,26,14,0,0,74,0,18,55,52,0,10,0,37,21,19,0,17,29,12,23,37,33,43,28,16,24,14,0,15,62,37,29,0,25
2005-08,0.0051177072671442225,71,26,0,0,6,35,12,45,42,25,25,7,17,6,0,0,6,13,0,0,67,0,17,59,44,21,9,0,29,26,0,0,0,27,11,0,55,35,14,8,13,23,4,11,14,0,34,16,0,26
2005-09,0.012219959266802416,75,31,42,0,11,46,14,58,83,62,30,12,10,0,56,58,15,12,13,53,60,0,16,62,50,49,8,0,50,36,33,0,0,0,21,0,42,40,50,38,12,10,0,29,26,0,24,26,24,67
2005-10,0.002012072434607548,75,35,0,4,18,50,14,56,71,60,36,13,22,14,53,22,30,34,37,12,67,0,15,61,55,92,39,0,39,50,38,0,0,0,25,0,22,48,47,39,22,0,12,18,36,0,52,30,11,59
2005-11,-0.008032128514056214,72,35,40,4,11,50,13,54,68,45,32,14,25,5,0,100,11,0,0,13,62,0,15,59,48,75,40,0,52,46,39,0,0,24,20,39,54,53,12,34,16,60,0,28,37,0,54,31,23,55
2005-12,-0.004048582995951344,67,29,48,4,16,44,11,51,69,56,21,11,16,9,0,21,17,0,0,12,60,0,14,57,66,18,53,0,46,54,22,0,14,0,5,18,25,50,46,22,17,10,8,9,12,0,36,21,32,60
2006-01,0.007621951219512146,79,31,26,3,5,50,16,55,66,52,28,8,6,8,0,75,21,10,11,22,59,0,0,60,59,72,14,0,60,34,20,0,0,0,17,33,49,44,31,37,17,0,7,8,10,0,26,16,10,50
2006-02,0.0020171457387794245,75,31,9,7,6,51,8,55,71,39,27,11,15,9,47,29,17,20,22,0,59,0,26,58,38,25,21,0,50,40,20,0,13,42,31,50,74,37,21,38,14,9,7,8,21,0,13,25,10,50
2006-03,0.005535983895319729,71,32,39,3,8,46,12,53,61,44,34,9,21,23,28,43,16,9,30,10,57,0,12,56,34,44,19,7,55,22,18,0,11,37,24,45,28,35,66,55,12,0,9,7,48,41,30,29,18,46
2006-04,0.008508508508508372,67,38,41,3,19,53,15,54,60,55,42,16,26,24,29,45,12,48,31,21,62,0,12,58,68,100,46,0,62,47,38,0,0,0,29,95,44,100,40,52,26,16,16,8,70,0,31,35,28,59
2006-05,0.00496277915632759,71,35,23,9,31,43,14,46,63,63,26,12,13,4,14,26,13,0,10,20,59,0,23,51,54,22,19,0,49,44,12,0,6,18,20,45,31,62,19,36,16,0,21,22,28,0,29,24,0,48
2006-06,0.0019753086419753707,73,30,8,3,29,42,10,50,52,50,20,11,18,20,15,18,15,19,31,10,69,0,37,57,71,92,13,0,53,37,6,0,6,19,4,16,15,37,49,41,22,0,0,15,100,0,25,33,28,54
2006-07,0.0029571217348447476,62,24,32,0,21,35,5,43,50,39,17,6,6,4,14,26,7,9,10,20,48,0,48,47,35,82,19,0,44,32,6,0,0,0,20,31,43,33,10,37,24,8,0,15,29,0,30,10,9,36
2006-08,0.0019656019656020263,69,25,36,0,18,34,10,44,65,31,18,5,11,4,39,32,8,0,0,9,70,0,11,48,35,89,18,0,39,42,0,0,5,0,11,14,36,46,9,12,12,7,9,0,63,0,22,13,0,29
2006-09,-0.004904364884747436,69,27,44,3,7,46,15,46,70,49,21,6,16,0,26,24,16,17,28,9,61,0,33,53,44,34,29,0,56,38,6,0,11,0,30,14,49,38,88,46,22,7,12,0,27,0,33,24,16,47
2006-10,-0.005421389847215297,70,29,54,0,9,48,13,47,62,53,26,8,16,20,84,7,13,8,17,0,75,0,0,60,52,88,16,0,54,42,21,0,5,32,31,39,30,54,89,45,18,27,3,12,33,0,56,31,8,60
2006-11,-0.0014866204162538033,65,31,53,3,14,46,13,49,83,44,26,8,21,7,47,22,13,38,42,0,61,0,20,55,52,56,32,0,46,53,15,0,5,32,13,0,47,44,88,33,29,20,5,0,41,0,66,36,45,57
2006-12,0.0014888337468983437,60,29,27,0,18,47,12,38,56,44,17,11,13,10,0,29,12,39,34,42,54,0,10,46,32,37,21,0,38,46,16,0,15,0,20,38,44,60,32,29,20,7,3,6,65,35,15,22,8,43
2007-01,0.0030525272547075044,64,25,23,0,6,46,7,45,57,62,21,8,19,3,21,39,11,0,15,0,67,0,0,48,33,49,14,0,41,27,18,0,9,14,24,34,36,39,56,19,13,0,2,22,22,0,36,25,13,54
2007-02,0.005350367559876723,69,30,62,0,7,48,12,50,65,50,30,12,17,9,33,27,15,22,24,16,72,0,19,53,38,52,45,0,53,46,14,0,9,0,25,0,25,41,67,41,7,12,7,17,46,0,43,33,14,51
2007-03,0.009105695851085338,66,26,45,0,11,41,15,39,71,35,28,10,8,14,30,56,12,26,14,29,61,0,42,46,49,52,22,0,43,48,22,0,0,27,14,43,40,55,47,32,9,22,11,5,41,0,38,25,19,41
2007-04,0.006496162686508988,62,31,45,2,23,47,15,41,52,51,28,10,12,11,30,31,12,33,50,36,66,0,25,47,49,63,36,0,43,39,31,0,8,40,32,22,43,65,27,26,15,17,11,16,21,0,26,17,0,58
2007-05,0.006110718674704696,62,30,26,0,21,43,14,33,56,41,24,8,13,5,37,29,17,6,7,7,63,0,16,43,43,49,17,0,45,56,20,0,0,25,24,80,30,45,44,22,9,16,8,19,32,0,40,19,12,46
2007-06,0.0019379751766057662,63,24,28,2,7,37,10,33,52,42,19,10,8,5,20,12,14,13,7,7,65,0,17,41,31,72,9,0,27,31,26,0,0,13,6,11,27,36,40,15,9,6,17,0,41,0,50,11,12,49
2007-07,-0.0002543772078021922,59,25,21,2,10,36,14,31,49,28,21,6,14,3,19,23,9,0,0,0,61,0,23,40,27,58,25,0,46,39,28,0,11,0,24,20,44,47,38,33,15,16,12,10,6,27,16,17,12,33
2007-08,-0.0018339022270870142,54,24,10,2,8,34,9,32,54,38,10,9,8,0,18,44,8,6,6,13,65,0,7,41,32,33,0,0,39,51,23,0,4,12,10,19,40,33,30,21,8,5,21,14,6,0,34,13,17,38
2007-09,0.002755907405358915,59,29,65,0,12,43,20,38,55,47,17,10,9,17,27,11,13,17,13,0,55,0,30,48,50,56,32,0,37,23,23,0,0,24,25,48,38,64,66,17,19,15,16,0,37,0,45,15,0,48
2007-10,0.002139191328121237,72,32,49,10,13,46,18,39,65,37,36,12,25,4,40,44,18,31,17,23,68,0,20,48,41,58,29,0,46,58,24,0,6,11,23,77,36,99,32,24,21,9,23,12,44,23,44,36,10,44
2007-11,0.005939617873415681,57,33,31,5,21,47,19,37,45,41,30,13,19,4,16,39,22,36,28,23,54,0,40,48,41,50,29,0,51,74,28,0,3,43,14,86,32,59,54,45,24,22,25,17,38,0,41,28,20,49
2007-12,-0.000670863129647814,59,31,28,5,47,42,19,32,57,50,22,12,15,18,17,46,15,21,41,35,50,11,28,44,50,43,41,0,43,40,32,0,7,44,14,36,33,61,50,31,22,5,16,13,23,0,56,25,5,49
2008-01,0.004970576472604682,73,34,61,3,47,54,17,42,75,55,40,11,28,10,58,31,18,5,10,47,58,0,6,53,34,69,33,0,55,51,28,29,9,0,14,55,33,74,74,41,16,16,19,15,35,0,53,37,0,54
2008-02,0.0029041121849535667,62,37,51,3,100,54,16,40,71,64,24,14,12,17,60,51,21,24,16,16,62,0,13,52,51,47,40,0,54,34,23,0,6,40,21,89,32,75,56,32,25,21,32,24,36,0,48,31,24,64
2008-03,0.008668212930989627,70,39,45,3,57,50,26,42,72,46,33,16,25,12,7,55,25,29,68,10,54,0,37,56,73,42,43,0,63,52,22,0,9,20,15,87,42,99,45,48,32,4,50,15,35,21,44,32,23,48
2008-04,0.006064778389719416,73,42,40,5,31,55,23,41,78,54,32,18,18,18,58,31,27,33,36,26,64,0,24,54,52,60,36,0,56,62,38,0,6,10,35,62,48,88,44,32,17,24,70,19,30,0,37,31,27,61
2008-05,0.00842088603175628,66,35,37,8,36,43,19,34,60,45,32,13,12,8,37,63,13,47,52,36,67,0,18,48,28,84,29,0,43,40,19,0,6,58,21,47,18,72,30,27,19,8,69,4,10,0,31,23,37,52
2008-06,0.010076996934894167,66,36,43,13,42,41,15,36,51,44,22,18,12,11,16,48,22,10,11,11,66,0,13,53,37,69,28,0,50,37,27,0,13,31,24,83,31,72,73,35,18,9,48,12,69,0,49,17,44,45
2008-07,0.005251011128121874,70,33,50,5,33,38,21,36,59,43,30,13,14,14,44,55,11,5,11,21,70,0,12,49,38,70,17,0,46,14,32,0,9,20,13,32,20,56,50,28,15,17,28,15,30,0,50,18,28,52
2008-08,-0.00399156225564179,60,29,8,2,19,34,10,30,45,32,19,12,5,10,15,23,13,5,31,10,66,0,6,43,48,38,16,0,39,30,16,0,3,0,23,47,33,50,39,23,15,12,21,4,5,0,47,15,23,39
2008-09,-0.0013830185406644713,62,34,45,13,13,45,34,34,46,51,26,16,22,17,20,46,13,17,24,19,64,0,11,52,47,18,33,0,39,34,41,0,25,18,23,43,38,82,50,25,10,11,21,17,18,0,86,31,17,55
2008-10,-0.01010133328457874,71,40,76,4,27,53,39,40,58,63,34,19,24,12,19,54,28,36,31,22,66,0,52,66,53,42,45,0,64,36,49,0,10,17,23,67,26,74,63,43,17,28,30,13,21,0,85,35,23,69
2008-11,-0.019152895328595876,62,34,46,1,28,45,42,36,60,59,26,17,16,19,41,30,24,53,39,20,63,0,81,52,62,36,49,0,40,37,30,0,8,0,27,74,34,59,74,22,15,15,15,4,9,0,67,24,22,58
2008-12,-0.010342473814287434,56,30,23,6,28,36,43,32,50,35,15,13,13,13,7,29,17,13,14,29,58,0,40,45,31,18,18,0,36,41,29,0,14,0,17,51,20,66,50,14,30,11,18,14,14,20,63,25,13,44
2009-01,0.004352417375421025,75,29,14,4,16,35,42,33,72,29,31,13,17,16,13,24,24,16,5,14,64,8,32,48,34,47,23,0,42,47,33,0,3,17,16,20,27,41,60,24,12,14,21,13,26,0,87,29,12,35
2009-02,0.004972933035904736,69,34,52,9,29,38,58,33,63,42,25,19,16,9,53,33,25,30,38,33,69,0,67,49,32,28,21,0,47,30,32,0,5,9,30,50,32,73,27,24,18,30,16,17,5,0,65,30,13,50
2009-03,0.0024317484554154944,69,37,44,5,22,44,51,24,67,36,27,20,17,15,48,37,26,35,30,34,73,0,41,40,45,32,49,0,31,39,34,0,17,24,15,45,33,66,57,15,19,20,15,28,29,0,46,30,8,44
2009-04,0.002496368277788097,66,33,27,5,30,43,45,28,62,51,22,19,16,17,24,23,26,40,39,26,70,8,51,41,47,29,47,0,45,37,27,0,5,8,23,59,35,58,66,35,19,34,15,22,21,18,52,29,27,60
2009-05,0.0028887638341774657,61,29,31,8,26,34,36,24,67,42,18,18,9,20,6,46,27,36,35,40,63,0,37,39,33,20,25,0,37,24,41,0,3,0,18,33,20,45,67,17,16,21,3,32,26,0,34,26,8,39
2009-06,0.008589892263953347,61,29,21,3,18,29,48,24,80,16,14,16,8,9,32,16,19,24,13,9,68,0,11,35,27,26,31,0,36,32,33,0,0,17,14,14,20,54,34,25,14,21,12,13,4,0,32,15,28,17
2009-07,-0.0015855869221532704,61,23,24,5,12,26,28,21,78,25,17,11,8,3,25,50,12,20,18,18,64,0,16,31,26,19,11,0,34,36,13,0,5,0,16,33,31,46,33,22,6,24,14,6,13,0,42,19,23,27
2009-08,0.002242850044810618,56,23,24,3,7,25,28,22,58,29,17,10,7,7,6,15,15,16,22,26,70,0,25,35,21,22,14,0,19,27,13,0,7,16,16,26,17,38,45,6,13,24,4,13,21,0,26,18,4,33
2009-09,0.0006254806934959944,60,27,53,2,8,32,29,28,67,36,24,16,14,16,53,36,28,19,17,17,74,0,20,42,50,40,21,0,39,41,31,0,12,31,27,19,31,48,59,21,10,20,10,9,16,0,28,27,11,43
2009-10,0.000963101185818438,64,29,41,9,12,42,38,29,72,35,24,17,12,9,39,45,28,40,40,52,68,0,19,43,50,44,45,0,43,37,36,0,9,30,25,30,33,78,45,17,15,19,9,9,19,0,36,24,32,40
2009-11,0.0007077533687673832,61,30,29,10,16,40,31,26,89,36,27,18,24,28,29,28,35,56,49,37,64,0,34,36,50,30,36,3,40,60,45,23,14,8,18,31,31,74,74,26,23,32,13,33,39,17,32,39,25,39
2009-12,-0.001761198169463296,57,27,9,2,19,34,33,22,76,31,15,17,9,12,34,28,25,40,40,44,64,0,19,34,35,21,33,0,39,39,24,0,21,15,14,36,15,53,34,21,23,54,10,23,27,0,41,22,14,36
2010-01,0.0034174735701484327,58,26,21,2,7,33,27,25,86,35,25,14,21,13,27,17,22,21,27,42,68,0,31,36,38,11,22,0,31,32,39,0,11,0,17,40,31,37,47,20,11,18,9,11,18,0,25,35,17,33
2010-02,0.0002492073820765661,64,29,49,4,13,40,30,26,89,43,31,19,26,17,66,31,25,36,20,27,59,0,46,38,49,23,25,0,44,48,46,0,20,15,19,47,37,50,52,30,8,25,26,29,45,16,35,42,21,39
2010-03,0.004106283536571276,68,30,37,4,13,43,39,25,83,48,30,19,21,13,53,38,29,52,29,62,70,0,42,38,41,43,37,0,47,49,35,0,8,33,31,38,26,54,44,31,15,23,19,29,20,27,51,30,29,50
2010-04,0.001736884910697345,64,30,64,14,21,39,30,21,69,37,26,22,13,25,56,26,28,54,41,38,69,0,48,34,49,20,37,0,33,47,38,21,0,42,30,45,40,56,39,16,29,30,17,22,14,42,46,27,36,40
2010-05,0.000775197354237811,60,27,9,5,25,29,28,17,60,28,19,20,13,9,26,28,23,35,43,36,63,0,41,30,30,32,28,0,30,31,45,0,15,29,14,65,22,38,44,17,15,41,26,34,39,30,23,25,10,37
2010-06,-0.0009762670846739097,57,21,43,4,15,24,21,15,51,25,13,13,6,15,21,28,22,25,12,32,78,0,51,27,15,15,18,0,22,31,33,0,11,7,14,77,30,39,30,10,7,22,13,15,18,15,51,14,7,26
2010-07,0.00021104305737162932,53,20,19,5,10,24,23,13,43,32,13,11,7,7,9,15,12,6,21,28,59,0,60,22,33,5,16,0,20,21,37,0,10,6,15,21,20,33,22,12,8,16,13,13,6,0,28,16,6,32
2010-08,0.0013806642784079948,52,20,3,4,13,19,35,16,40,20,9,11,2,6,9,14,16,9,17,7,57,0,100,22,15,15,19,0,21,29,32,0,4,0,14,20,19,35,28,8,11,31,18,12,18,12,31,7,20,23
2010-09,0.0005817362307156682,55,23,27,3,9,27,24,18,38,38,19,14,13,13,43,6,22,9,6,26,61,0,41,27,31,16,14,0,24,35,38,0,13,18,14,57,25,30,27,13,10,30,16,21,11,0,26,24,6,35
2010-10,0.0012451988884769616,62,28,29,6,13,36,33,19,49,32,21,18,15,16,51,22,33,28,38,67,65,6,40,32,33,26,22,0,35,35,40,0,11,17,35,19,24,48,53,19,18,42,21,11,8,35,28,25,22,34
2010-11,0.0004206464238194485,56,32,45,3,17,36,52,19,38,36,22,23,17,9,21,32,27,27,40,62,62,0,78,28,34,25,46,2,34,39,46,0,22,17,42,64,26,51,60,23,26,24,100,18,33,35,34,26,27,38
2010-12,0.001718440789203024,50,26,24,6,16,31,37,14,38,29,11,19,8,15,20,27,24,49,52,37,50,0,60,26,29,25,28,0,23,32,29,0,15,6,24,41,32,46,43,12,14,19,28,24,22,34,41,20,19,31
2011-01,0.004763230053974166,51,26,26,3,10,33,35,20,43,40,20,18,12,10,19,21,20,15,22,27,62,0,31,29,35,37,25,0,28,45,19,0,8,22,24,32,27,55,42,15,12,19,61,14,17,18,43,21,13,37
2011-02,0.00493136502545144,59,31,30,8,20,38,40,23,39,33,31,23,24,15,56,36,40,25,26,42,66,0,21,35,26,52,32,0,40,45,50,0,7,5,33,31,49,57,75,23,20,31,72,24,37,49,54,34,20,35
2011-03,0.0097510720305094,59,29,47,5,20,35,42,21,47,39,25,23,19,24,81,27,35,38,40,38,71,0,33,34,41,74,36,0,39,36,50,0,14,13,27,45,31,53,37,18,18,50,49,20,23,17,42,29,18,38
2011-04,0.006439429535457064,59,36,30,8,30,41,52,20,48,48,25,28,16,27,19,47,40,65,48,39,60,0,59,33,35,61,45,6,46,50,57,13,16,18,38,54,30,78,50,28,41,25,68,25,57,27,47,25,51,53
2011-05,0.004704187527233561,50,27,18,3,36,31,31,18,38,29,20,23,13,22,9,14,29,19,33,55,60,4,27,27,27,40,36,3,30,27,30,0,20,9,28,28,26,51,31,16,21,26,38,31,32,9,18,23,31,35
2011-06,-0.0010709670566992902,51,23,15,6,21,24,24,16,37,26,12,17,8,16,26,19,27,20,17,29,59,0,25,26,27,43,25,2,25,30,36,13,12,4,20,25,28,43,36,13,6,15,18,23,18,0,18,17,19,24
2011-07,0.0008860456667936223,51,23,26,3,9,26,28,14,34,26,14,16,9,13,29,25,29,19,26,22,60,0,28,22,28,25,17,2,24,34,30,0,5,4,20,28,21,37,20,14,9,21,17,9,15,9,39,15,23,24
2011-08,0.0027575889023645495,51,23,19,5,15,24,31,14,25,30,14,14,9,11,3,18,17,10,4,20,57,0,28,24,27,31,14,0,26,29,25,0,11,12,22,23,11,42,39,11,15,33,18,24,18,8,34,13,14,29
2011-09,0.0015184621156945077,54,25,34,1,11,32,22,17,33,40,23,22,14,14,45,27,30,8,18,22,61,0,31,26,32,25,17,0,34,26,29,0,9,8,30,40,27,42,39,22,10,23,22,29,22,17,19,20,18,41
2011-10,-0.0020626826333582926,58,26,45,6,17,37,26,19,48,43,28,24,22,23,47,24,36,50,58,52,63,4,39,27,30,45,34,0,32,38,34,0,12,19,43,50,36,44,52,29,13,26,22,27,24,23,66,31,29,43
2011-11,-0.0008435613304419443,53,26,36,6,15,33,30,16,39,25,24,25,14,29,37,24,31,61,47,49,55,0,37,25,35,25,22,0,30,30,37,0,15,12,22,41,28,46,36,15,17,50,22,25,17,24,37,19,35,29
2011-12,-0.0024665163771382392,45,23,28,4,18,29,24,14,29,29,17,21,9,16,19,25,24,40,47,39,55,4,42,22,24,19,27,0,24,37,35,0,13,7,27,36,22,46,28,17,17,31,15,34,15,23,30,16,30,31
2012-01,0.004400191428267641,51,22,22,2,10,26,22,16,33,26,17,19,13,13,23,17,32,22,19,23,61,0,13,24,32,30,19,0,21,32,30,0,18,28,21,17,20,40,30,11,8,38,22,22,14,14,45,21,5,24
2012-02,0.004402973551276279,56,26,33,5,9,41,27,19,42,40,27,25,22,24,52,22,38,33,42,49,66,3,38,29,39,30,27,0,35,59,59,0,18,18,36,52,37,49,45,23,13,44,27,27,23,29,30,32,15,39
2012-03,0.0075945586239309915,50,26,32,8,12,34,22,16,33,34,19,24,16,24,37,24,32,53,54,56,68,3,45,24,31,12,18,0,28,39,40,0,19,14,30,36,27,48,31,23,16,28,23,32,13,35,30,25,18,35
2012-04,0.0030210295040804525,52,28,38,5,22,39,30,16,34,39,25,26,19,35,39,29,41,54,61,43,65,4,59,24,32,26,45,0,35,45,43,0,22,11,40,41,30,53,35,20,23,29,24,46,26,51,32,29,33,39
2012-05,-0.0011734793663211729,49,24,16,4,28,28,21,15,29,28,18,22,12,22,12,21,25,50,44,45,63,0,41,22,30,14,42,0,29,30,30,0,20,7,25,55,21,44,24,14,14,26,14,43,12,28,26,19,11,29
2012-06,-0.0014663968844504938,47,20,15,5,10,24,16,12,34,25,15,16,10,13,16,20,23,21,21,35,66,4,22,21,24,16,20,0,21,31,31,0,11,11,17,46,20,44,22,13,12,32,11,21,14,0,32,13,12,24
2012-07,-0.0016297858618254946,44,19,14,6,8,22,16,12,35,25,16,16,12,12,12,18,26,15,13,13,74,3,15,19,18,19,14,0,25,35,31,0,9,10,19,17,20,39,35,14,9,19,20,14,7,0,36,15,13,23
2012-08,0.005565158181437102,45,19,20,4,5,23,15,12,30,26,10,15,4,9,12,19,20,6,5,14,67,0,13,18,20,21,10,0,17,22,18,0,13,0,13,8,15,31,20,8,9,16,26,22,15,7,18,8,16,27
2012-09,0.004462212267611232,52,25,37,10,9,35,28,16,36,35,25,24,20,11,44,33,40,29,24,31,79,0,38,24,34,27,31,0,33,58,39,20,20,3,21,33,36,41,34,26,14,35,32,40,20,27,31,29,19,33
2012-10,-0.00038892514055322014,55,29,57,10,11,39,29,17,39,43,27,31,24,32,54,27,44,50,47,48,83,0,47,27,34,20,23,1,38,48,57,0,11,6,39,38,44,48,47,26,14,24,24,30,14,83,39,38,24,42
2012-11,-0.00473808669488196,46,25,37,7,16,34,27,15,30,33,19,27,13,25,33,26,36,58,64,39,75,0,45,22,26,17,42,0,27,38,54,10,16,10,31,18,34,36,29,19,20,26,22,39,11,46,45,22,23,34
2012-12,-0.002693064490207231,52,22,9,6,17,30,21,13,34,30,17,22,10,33,18,13,40,42,35,34,64,6,23,21,18,17,22,0,22,47,33,9,14,12,34,20,24,51,25,13,21,27,15,37,8,19,33,16,34,30
2013-01,0.002957304192926058,54,24,29,4,9,30,20,15,36,27,20,19,15,15,25,23,31,31,17,45,67,0,18,23,34,27,23,0,29,45,28,17,15,15,22,14,25,40,35,17,7,32,17,32,27,6,41,23,11,25
2013-02,0.008190029529268728,59,29,58,8,11,38,22,16,36,35,29,27,25,22,63,29,49,42,34,34,73,0,37,26,39,20,35,1,34,57,48,18,21,6,31,30,43,45,42,20,14,29,18,40,20,13,46,36,28,35
2013-03,0.0026145085843749527,54,28,42,8,14,35,27,16,35,37,23,27,18,26,51,17,41,40,50,43,74,3,34,26,31,18,40,0,34,42,48,8,12,20,26,27,29,39,30,21,16,33,22,33,18,34,43,29,20,36
2013-04,-0.0010396394770870732,73,33,26,8,23,40,26,16,37,34,26,33,21,28,36,21,59,70,63,52,68,3,60,26,33,22,45,1,38,50,50,9,29,14,31,58,35,46,47,30,30,41,20,48,17,47,40,30,29,36
2013-05,0.0017804077735872337,50,27,23,8,34,32,22,13,33,34,18,28,12,28,42,12,36,57,51,52,64,6,56,22,28,21,37,0,29,44,40,0,18,20,31,42,32,46,55,23,21,32,18,41,14,12,29,22,23,33
