Month,cpi_rate,inflation: (United States)
2011-11,-0.000843561,26
2011-12,-0.002466516,23
2012-01,0.004400191,22
2012-02,0.004402974,26
2012-03,0.007594559,26
2012-04,0.00302103,28
2012-05,-0.001173479,24
2012-06,-0.001466397,20
2012-07,-0.001629786,19
2012-08,0.005565158,19
2012-09,0.004462212,25
2012-10,-0.000388925,29
2012-11,-0.004738087,25
2012-12,-0.002693064,22
2013-01,0.002957304,24
2013-02,0.00819003,29
2013-03,0.002614509,28
2013-04,-0.001039639,33
2013-05,0.001780408,27
2013-06,0.002399708,19
2013-07,0.000393998,19
2013-08,0.001202932,19
2013-09,0.001163004,24
2013-10,-0.002575283,30
2013-11,-0.002042424,30
2013-12,-8.58E-05,29
2014-01,0.003720248,27
2014-02,0.003697909,30
2014-03,0.006440044,33
2014-04,0.003296754,35
2014-05,0.00349261,34
2014-06,0.001862127,23
2014-07,-0.000390194,22
2014-08,-0.001670514,20
2014-09,0.000752569,28
2014-10,-0.002512278,33
2014-11,-0.005399418,32
2014-12,-0.005670101,30
2015-01,-0.004705892,31
2015-02,0.004343045,33
2015-03,0.005951722,33
2015-04,0.002032873,37
2015-05,0.005097232,32
2015-06,0.00350287,22
2015-07,6.70E-05,22
2015-08,-0.001416276,22
2015-09,-0.001556757,31
2015-10,-0.000449684,34
2015-11,-0.00211068,34
2015-12,-0.003417096,34
2016-01,0.001653102,29
2016-02,0.000823077,34
2016-03,0.004306,34
2016-04,0.004741068,35
2016-05,0.004045791,31
2016-06,0.003284366,22
2016-07,-0.001618136,19
2016-08,0.00091843,19
2016-09,0.002403996,28
2016-10,0.001246749,31
2016-11,-0.001555461,33
2016-12,0.000327321,31
2017-01,0.005827728,29
2017-02,0.003146117,34
2017-03,0.000812798,35
2017-04,0.002965533,34
2017-05,0.000854722,32
2017-06,0.000907111,23
2017-07,-0.000689923,22
2017-08,0.002994452,22
2017-09,0.005294906,28
2017-10,-0.000632042,34
2017-11,2.43E-05,35
2017-12,-0.000587832,33
2018-01,0.005447745,32
2018-02,0.00453469,41
2018-03,0.002261126,35
2018-04,0.003975092,37
2018-05,0.004158917,34
2018-06,0.001593876,26
2018-07,6.75E-05,27
2018-08,0.000555542,28
2018-09,0.001162025,34
2018-10,0.001766763,37
2018-11,-0.003349349,36
2018-12,-0.003193963,34
2019-01,0.001906597,32
2019-02,0.004227053,37
2019-03,0.005641358,37
2019-04,0.005295002,40
2019-05,0.002128759,35
2019-06,0.000199147,27
2019-07,0.001670942,27
2019-08,-5.07E-05,25
2019-09,0.000783449,31
2019-10,0.002286191,35
2019-11,-0.000536243,36
2019-12,-0.00090977,33
2020-01,0.00387977,31
2020-02,0.002740618,37
2020-03,-0.002176451,34
2020-04,-0.006686942,38
2020-05,1.95E-05,35
2020-06,0.005472047,28
2020-07,0.005058244,30
2020-08,0.003153211,30
2020-09,0.001392747,34
2020-10,0.000414938,35
2020-11,-0.000610627,32
2020-12,0.000941478,35
2021-01,0.004253783,38
2021-02,0.005474383,48
2021-03,0.007083273,48
2021-04,0.008218909,45
2021-05,0.008017105,66
2021-06,0.009290663,53
2021-07,0.004810524,45
2021-08,0.002065911,39
2021-09,0.002715971,42
2021-10,0.008308119,58
2021-11,0.004913428,76
2021-12,0.003072517,66
2022-01,0.008414574,71
2022-02,0.009133979,81
2022-03,0.01335138,81
